================ Training Loss (Fri Jan 28 12:56:30 2022) ================
(epoch: 4, iters: 10, time: 0.092) G_GAN: 4.485 G_L1: 23.251 D_real: 1.123 D_fake: 0.821 
(epoch: 7, iters: 20, time: 0.093) G_GAN: 2.463 G_L1: 27.148 D_real: 1.273 D_fake: 0.246 
(epoch: 10, iters: 30, time: 0.099) G_GAN: 1.244 G_L1: 38.657 D_real: 0.470 D_fake: 1.890 
(epoch: 14, iters: 10, time: 0.094) G_GAN: 4.387 G_L1: 30.673 D_real: 3.677 D_fake: 0.004 
(epoch: 17, iters: 20, time: 0.094) G_GAN: 5.209 G_L1: 37.696 D_real: 0.220 D_fake: 0.012 
(epoch: 20, iters: 30, time: 0.099) G_GAN: 1.563 G_L1: 29.125 D_real: 0.108 D_fake: 0.770 
(epoch: 24, iters: 10, time: 0.106) G_GAN: 3.281 G_L1: 30.690 D_real: 0.883 D_fake: 0.081 
(epoch: 27, iters: 20, time: 0.093) G_GAN: 0.462 G_L1: 31.056 D_real: 0.047 D_fake: 5.047 
(epoch: 30, iters: 30, time: 0.098) G_GAN: 6.763 G_L1: 31.467 D_real: 2.100 D_fake: 0.001 
(epoch: 34, iters: 10, time: 0.108) G_GAN: 2.319 G_L1: 26.931 D_real: 0.181 D_fake: 0.250 
(epoch: 37, iters: 20, time: 0.102) G_GAN: 2.331 G_L1: 27.619 D_real: 0.162 D_fake: 0.701 
(epoch: 40, iters: 30, time: 0.111) G_GAN: 1.211 G_L1: 26.136 D_real: 0.796 D_fake: 0.799 
(epoch: 44, iters: 10, time: 0.101) G_GAN: 3.225 G_L1: 23.235 D_real: 2.193 D_fake: 0.028 
(epoch: 47, iters: 20, time: 0.091) G_GAN: 2.725 G_L1: 24.393 D_real: 0.073 D_fake: 0.122 
(epoch: 50, iters: 30, time: 0.107) G_GAN: 4.524 G_L1: 22.361 D_real: 3.221 D_fake: 0.003 
(epoch: 54, iters: 10, time: 0.094) G_GAN: 1.239 G_L1: 25.085 D_real: 0.824 D_fake: 0.222 
(epoch: 57, iters: 20, time: 0.094) G_GAN: 2.277 G_L1: 23.509 D_real: 0.118 D_fake: 0.226 
(epoch: 60, iters: 30, time: 0.094) G_GAN: 1.223 G_L1: 28.101 D_real: 0.120 D_fake: 2.107 
(epoch: 64, iters: 10, time: 0.107) G_GAN: 2.781 G_L1: 31.797 D_real: 0.588 D_fake: 0.036 
(epoch: 67, iters: 20, time: 0.096) G_GAN: 1.677 G_L1: 23.057 D_real: 0.213 D_fake: 0.719 
(epoch: 70, iters: 30, time: 0.108) G_GAN: 4.118 G_L1: 28.494 D_real: 0.345 D_fake: 0.021 
(epoch: 74, iters: 10, time: 0.114) G_GAN: 1.708 G_L1: 25.690 D_real: 0.124 D_fake: 0.305 
(epoch: 77, iters: 20, time: 0.102) G_GAN: 1.532 G_L1: 28.500 D_real: 0.512 D_fake: 0.466 
(epoch: 80, iters: 30, time: 0.105) G_GAN: 1.070 G_L1: 24.882 D_real: 0.031 D_fake: 1.981 
(epoch: 84, iters: 10, time: 0.113) G_GAN: 1.614 G_L1: 30.732 D_real: 1.721 D_fake: 0.086 
(epoch: 87, iters: 20, time: 0.116) G_GAN: 2.180 G_L1: 29.040 D_real: 0.461 D_fake: 0.157 
(epoch: 90, iters: 30, time: 0.101) G_GAN: 0.790 G_L1: 22.173 D_real: 0.063 D_fake: 1.823 
(epoch: 94, iters: 10, time: 0.115) G_GAN: 1.818 G_L1: 33.547 D_real: 0.659 D_fake: 0.137 
(epoch: 97, iters: 20, time: 0.101) G_GAN: 1.979 G_L1: 26.667 D_real: 0.533 D_fake: 0.085 
(epoch: 100, iters: 30, time: 0.116) G_GAN: 0.959 G_L1: 35.366 D_real: 0.022 D_fake: 1.820 
(epoch: 104, iters: 10, time: 0.112) G_GAN: 2.221 G_L1: 31.239 D_real: 0.496 D_fake: 0.167 
(epoch: 107, iters: 20, time: 0.100) G_GAN: 1.811 G_L1: 26.256 D_real: 0.073 D_fake: 0.823 
(epoch: 110, iters: 30, time: 0.110) G_GAN: 1.272 G_L1: 20.738 D_real: 0.356 D_fake: 0.480 
(epoch: 114, iters: 10, time: 0.109) G_GAN: 0.601 G_L1: 21.393 D_real: 0.221 D_fake: 1.225 
(epoch: 117, iters: 20, time: 0.101) G_GAN: 1.609 G_L1: 28.566 D_real: 0.090 D_fake: 0.606 
(epoch: 120, iters: 30, time: 0.109) G_GAN: 1.188 G_L1: 16.126 D_real: 0.589 D_fake: 0.337 
(epoch: 124, iters: 10, time: 0.109) G_GAN: 1.480 G_L1: 26.201 D_real: 0.167 D_fake: 0.263 
(epoch: 127, iters: 20, time: 0.106) G_GAN: 1.301 G_L1: 28.105 D_real: 0.555 D_fake: 0.840 
(epoch: 130, iters: 30, time: 0.120) G_GAN: 1.396 G_L1: 25.002 D_real: 0.171 D_fake: 0.806 
(epoch: 134, iters: 10, time: 0.112) G_GAN: 1.319 G_L1: 20.339 D_real: 0.279 D_fake: 0.371 
(epoch: 137, iters: 20, time: 0.120) G_GAN: 1.481 G_L1: 30.537 D_real: 0.259 D_fake: 0.241 
(epoch: 140, iters: 30, time: 0.116) G_GAN: 1.057 G_L1: 30.900 D_real: 0.120 D_fake: 0.658 
(epoch: 144, iters: 10, time: 0.103) G_GAN: 1.689 G_L1: 28.206 D_real: 0.523 D_fake: 0.114 
(epoch: 147, iters: 20, time: 0.121) G_GAN: 1.029 G_L1: 31.555 D_real: 0.073 D_fake: 1.304 
(epoch: 150, iters: 30, time: 0.124) G_GAN: 1.792 G_L1: 21.212 D_real: 1.456 D_fake: 0.068 
(epoch: 154, iters: 10, time: 0.118) G_GAN: 1.247 G_L1: 22.140 D_real: 0.677 D_fake: 0.085 
(epoch: 157, iters: 20, time: 0.121) G_GAN: 1.771 G_L1: 29.125 D_real: 0.138 D_fake: 0.367 
(epoch: 160, iters: 30, time: 0.119) G_GAN: 2.976 G_L1: 31.274 D_real: 0.346 D_fake: 0.041 
(epoch: 164, iters: 10, time: 0.116) G_GAN: 0.889 G_L1: 22.258 D_real: 1.305 D_fake: 0.587 
(epoch: 167, iters: 20, time: 0.125) G_GAN: 0.856 G_L1: 15.857 D_real: 0.302 D_fake: 1.083 
(epoch: 170, iters: 30, time: 0.113) G_GAN: 1.545 G_L1: 17.997 D_real: 0.955 D_fake: 0.422 
(epoch: 174, iters: 10, time: 0.118) G_GAN: 1.388 G_L1: 25.384 D_real: 0.067 D_fake: 0.788 
(epoch: 177, iters: 20, time: 0.108) G_GAN: 1.258 G_L1: 19.289 D_real: 0.265 D_fake: 0.358 
